epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,416.208,1.07686,1.83742,0.90037,1.23841,0.94057,0.83349,0.84697,0.51187,1,0.87909,0.92903,0.46305,1.54435,2.57235,0.94415,1.62533,0.0014126,0.0014126,0.0014126
91,420.644,1.11577,1.77776,0.8784,1.22161,0.77285,0.89537,0.88947,0.54647,0.77285,0.89537,0.92423,0.49293,1.3442,2.4048,0.85354,1.51739,0.001406,0.001406,0.001406
92,425.083,1.07724,1.7842,0.87935,1.1979,0.74667,0.73684,0.80847,0.45673,0.8007,0.78947,0.85197,0.40284,1.49476,2.93249,0.95284,1.63355,0.0013994,0.0013994,0.0013994
93,429.48,1.10357,1.73598,0.87686,1.21394,0.78654,0.77627,0.79325,0.50283,0.8399,0.8289,0.87453,0.41825,1.39935,2.94281,0.91595,1.58063,0.0013928,0.0013928,0.0013928
94,434.033,1.0748,1.70743,0.79743,1.19491,0.81891,0.63158,0.78534,0.43642,0.89339,0.68421,0.81654,0.43479,1.61189,2.7844,0.99199,1.73824,0.0013862,0.0013862,0.0013862
95,439.086,1.01841,1.62964,0.76581,1.18859,0.72141,0.6816,0.74266,0.41346,0.7764,0.73128,0.78494,0.41545,1.78677,2.88212,1.09167,1.94511,0.0013796,0.0013796,0.0013796
96,443.923,1.00773,1.65697,0.76022,1.19653,0.81339,0.63158,0.79833,0.44703,0.90021,0.68421,0.84017,0.44392,1.61706,2.4815,1.11,1.80658,0.001373,0.001373,0.001373
97,448.232,1.11458,1.65543,0.86435,1.25758,0.65827,0.57895,0.67223,0.37629,0.69305,0.8322,0.82371,0.38354,1.76011,2.65346,1.10499,1.92943,0.0013664,0.0013664,0.0013664
98,453.041,1.04564,1.72945,0.83666,1.22448,0.56375,0.68421,0.65604,0.35183,0.72018,0.81335,0.84473,0.39135,1.92744,2.84519,1.00963,2.11652,0.0013598,0.0013598,0.0013598
99,458.217,1.09708,1.77232,0.85191,1.21864,0.8448,0.57341,0.62991,0.33387,0.85716,0.57895,0.74957,0.36486,1.82541,3.06942,0.98894,2.01201,0.0013532,0.0013532,0.0013532
100,463.162,0.99335,1.57155,0.79234,1.18718,0.92042,0.60975,0.70416,0.38252,0.85026,0.68421,0.83949,0.4033,1.62382,2.71624,1.28412,1.79388,0.0013466,0.0013466,0.0013466
101,467.837,1.01039,1.68609,0.83821,1.20427,0.6576,0.68421,0.67302,0.38028,0.84817,0.78947,0.87798,0.40734,1.67066,2.68688,1.44117,1.81346,0.00134,0.00134,0.00134
102,473.184,0.98527,1.67612,0.75151,1.16987,0.76577,0.73684,0.73292,0.41864,0.88388,0.84211,0.88399,0.42703,1.68587,2.77001,1.22295,2.00434,0.0013334,0.0013334,0.0013334
103,477.475,0.98633,1.67252,0.75049,1.16041,0.74643,0.68421,0.70766,0.44926,0.83049,0.7742,0.76477,0.40709,1.58828,2.93723,1.05502,1.94335,0.0013268,0.0013268,0.0013268
104,482.112,0.99845,1.73897,0.77452,1.18292,0.78849,0.78504,0.75599,0.46656,0.84026,0.83103,0.83401,0.39106,1.61898,2.92549,0.86352,1.99594,0.0013202,0.0013202,0.0013202
105,486.769,1.05625,1.65039,0.81482,1.22613,0.74077,0.75257,0.75479,0.45942,0.79205,0.80234,0.8123,0.40286,1.68062,2.86583,0.91031,1.91469,0.0013136,0.0013136,0.0013136
106,491.517,1.07363,1.75319,0.83659,1.21088,0.75818,0.84211,0.8324,0.49176,0.80737,0.89474,0.91122,0.47116,1.59809,2.64216,0.9481,1.76383,0.001307,0.001307,0.001307
107,496.202,1.08903,1.77335,0.9027,1.25021,0.7622,0.73684,0.83308,0.43887,0.92813,0.89474,0.92165,0.44397,1.69172,2.77063,1.03055,1.85103,0.0013004,0.0013004,0.0013004
108,500.749,1.05379,1.74303,0.80374,1.20811,0.6723,0.78947,0.80151,0.44389,0.77323,0.78947,0.81228,0.4295,1.60147,2.86426,1.00129,1.79934,0.0012938,0.0012938,0.0012938
